"","domain","hits"
"1","sc.omtrdc.net",120
"2","pixel.adsafeprotected.com",62
"3","ib.adnxs.com",45
"4","data.adobedc.net",44
"5","www.facebook.com",41
"6","region1.app-analytics-services.com",36
"7","googleads.g.doubleclick.net",35
"8","pagead2.googlesyndication.com",35
"9","firebaselogging-pa.googleapis.com",33
"10","pubads.g.doubleclick.net",32
"11","bat.bing.com",30
"12","tr.outbrain.com",28
"13","aax-eu.amazon-adsystem.com",27
"14","tpc.googlesyndication.com",26
"15","wave.outbrain.com",26
"16","s3.eu-central-1.amazonaws.com",24
"17","www.google.com",22
"18","ads.linkedin.com",21
"19","aax.amazon-adsystem.com",20
"20","www.googleadservices.com",20
"21","www.googletagmanager.com",19
"22","assets.adobedtm.com",18
"23","amplify.outbrain.com",17
"24","g.doubleclick.net",17
"25","r10.o.lencr.org",16
"26","c.amazon-adsystem.com",15
"27","app-analytics-services.com",13
"28","r11.o.lencr.org",13
"29","s3.amazonaws.com",13
"30","ad.doubleclick.net",12
"31","s0.2mdn.net",10
"32","e5.o.lencr.org",8
"33","fonts.googleapis.com",8
"34","acdn.adnxs.com",7
"35","inappcheck.itunes.apple.com",7
"36","static.adsafeprotected.com",7
"37","stream.mux.com",7
"38","www.googletagservices.com",6
"39","ade.googlesyndication.com",5
"40","chunk-gcp-us-east1-vop1.cfcdn.mux.com",5
"41","firebase-settings.crashlytics.com",4
"42","firebaseinappmessaging.googleapis.com",4
"43","manifest-gcp-us-east1-vop1.cfcdn.mux.com",4
"44","chunk-gcp-us-east4-vop1.cfcdn.mux.com",3
"45","cm.g.doubleclick.net",3
"46","i.clean.gg",3
"47","ocsp.godaddy.com",3
"48","acdn.adnxs-simple.com",2
"49","cdn.ampproject.org",2
"50","dpm.demdex.net",2
"51","firebaseremoteconfig.googleapis.com",2
"52","fonts.gstatic.com",2
"53","manifest-gcp-us-east4-vop1.cfcdn.mux.com",2
"54","www.gstatic.com",2
"55","cadmus2.script.ac",1
"56","cdn.doubleverify.com",1
"57","chunk-gcp-us-east1-vop1.fastly.mux.com",1
"58","crcdn01.adnxs-simple.com",1
"59","encrypted-tbn1.gstatic.com",1
"60","encrypted-tbn2.gstatic.com",1
"61","encrypted-tbn3.gstatic.com",1
"62","firebaseinstallations.googleapis.com",1
"63","manifest-gcp-us-east1-vop1.fastly.mux.com",1
"64","ocsp.rootca1.amazontrust.com",1
"65","tps.doubleverify.com",1
