"","domain","hits"
"1","sc.omtrdc.net",120
"2","pixel.adsafeprotected.com",62
"3","dt.adsafeprotected.com",58
"4","ib.adnxs.com",45
"5","data.adobedc.net",44
"6","cdn.prod.www.spiegel.de",42
"7","data-cc21ca250f.apps.iocnt.de",42
"8","www.facebook.com",41
"9","region1.app-analytics-services.com",36
"10","googleads.g.doubleclick.net",35
"11","pagead2.googlesyndication.com",35
"12","sp-spiegel-de.spiegel.de",35
"13","ams3-ib.adnxs.com",33
"14","firebaselogging-pa.googleapis.com",33
"15","pubads.g.doubleclick.net",32
"16","securepubads.g.doubleclick.net",32
"17","fra1-ib.adnxs.com",31
"18","bat.bing.com",30
"19","intake.pbstck.com",30
"20","ups.xplosion.de",29
"21","token.rubiconproject.com",28
"22","tr.outbrain.com",28
"23","aax-eu.amazon-adsystem.com",27
"24","ad.yieldlab.net",27
"25","fastlane.rubiconproject.com",27
"26","grid-bidder.criteo.com",27
"27","iqdigital.demdex.net",27
"28","orbidder.otto.de",27
"29","pbc.agma-analytics.de",27
"30","ps.eyeota.net",27
"31","uss.xplosion.de",27
"32","tlx.3lift.com",26
"33","tpc.googlesyndication.com",26
"34","wave.outbrain.com",26
"35","analytics.tiktok.com",25
"36","imagesrv.adition.com",25
"37","www.spiegel.de",25
"38","ap.lijit.com",24
"39","prod.warden.spiegel.de",24
"40","s3.eu-central-1.amazonaws.com",24
"41","cm.adform.net",23
"42","i.connectad.io",23
"43","htlb.casalemedia.com",22
"44","sync-eu.connectad.io",22
"45","sync.connectad.io",22
"46","www.google.com",22
"47","ads.linkedin.com",21
"48","creativecdn.com",21
"49","x.bidswitch.net",21
"50","91edb324.de.ioam.de",20
"51","aax.amazon-adsystem.com",20
"52","assets-jpcust.jwpsrv.com",20
"53","csi.gstatic.com",20
"54","embed.cwi.re",20
"55","ssl.1.damoh.spiegel.de",20
"56","sync-tm.everesttech.net",20
"57","www.googleadservices.com",20
"58","benelph.de",19
"59","hbopenbid.pubmatic.com",19
"60","mcdp-chidc2.outbrain.com",19
"61","static.ads-twitter.com",19
"62","u.openx.net",19
"63","www.google.ch",19
"64","www.googletagmanager.com",19
"65","assets.adobedtm.com",18
"66","amplify.outbrain.com",17
"67","boot.pbstck.com",17
"68","cdn.jwplayer.com",17
"69","connect.facebook.net",17
"70","g.doubleclick.net",17
"71","spiegel.met.vgwort.de",17
"72","analytics.twitter.com",16
"73","cdn.connectad.io",16
"74","collector.brandmetrics.com",16
"75","r10.o.lencr.org",16
"76","t.co",16
"77","c.amazon-adsystem.com",15
"78","mv.outbrain.com",15
"79","wlresults.westlotto.com",15
"80","config.aps.amazon-adsystem.com",14
"81","ssum-sec.casalemedia.com",14
"82","track.adform.net",14
"83","app-analytics-services.com",13
"84","cdn.brandmetrics.com",13
"85","cdn.data-interactive.spiegel.de",13
"86","choices.trustarc.com",13
"87","choices.truste.com",13
"88","hgc-cf-cache-1.svonm.com",13
"89","ie1-bid.adsrvr.org",13
"90","images.outbrainimg.com",13
"91","r11.o.lencr.org",13
"92","s3.amazonaws.com",13
"93","0183ce0f.de.ioam.de",12
"94","ad.doubleclick.net",12
"95","cdn.id5-sync.com",12
"96","dsp.active-agent.com",12
"97","html5.adsrvr.org",12
"98","rumcdn.geoedge.be",12
"99","servedby.flashtalking.com",12
"100","videos-cloudfront-usp.jwpsrv.com",12
"101","a1170.casalemedia.com",11
"102","id5-sync.com",11
"103","log.outbrainimg.com",11
"104","m.exactag.com",11
"105","cmk.iqdigital.de",10
"106","dspcluster.adfarm1.adition.com",10
"107","googleads4.g.doubleclick.net",10
"108","macro.adnami.io",10
"109","s0.2mdn.net",10
"110","videos-cloudfront.jwpsrv.com",10
"111","cdn.cwi.re",9
"112","7660d570.de.ioam.de",8
"113","e5.o.lencr.org",8
"114","fonts.googleapis.com",8
"115","functions.adnami.io",8
"116","gw.geoedge.be",8
"117","image.angebote.spiegel.de",8
"118","script.ioam.de",8
"119","ssl.3.damoh.spiegel.de",8
"120","vcdn01.spiegel.de",8
"121","acdn.adnxs.com",7
"122","cd.adition.com",7
"123","inappcheck.itunes.apple.com",7
"124","ocsp.swisssign.ch",7
"125","static.adsafeprotected.com",7
"126","stream.mux.com",7
"127","eus.rubiconproject.com",6
"128","lb.eu-1-id5-sync.com",6
"129","spiegel.push.delivery",6
"130","ssl.2.damoh.spiegel.de",6
"131","widgets.outbrain.com",6
"132","www.googletagservices.com",6
"133","a15100c2552d89c1474b13419aefd98a.safeframe.googlesyndication.com",5
"134","ad13.adfarm1.adition.com",5
"135","ade.googlesyndication.com",5
"136","ads.pubmatic.com",5
"137","adx.adform.net",5
"138","chunk-gcp-us-east1-vop1.cfcdn.mux.com",5
"139","gum.criteo.com",5
"140","io.fusedeck.net",5
"141","s.hs-data.com",5
"142","s1.adform.net",5
"143","tags.crwdcntrl.net",5
"144","ad-events.flashtalking.com",4
"145","ad3.adfarm1.adition.com",4
"146","assets.involve.me",4
"147","assets.ivlv.me",4
"148","bcp.crwdcntrl.net",4
"149","cdn.ivlv.me",4
"150","code.createjs.com",4
"151","config.ioam.de",4
"152","data-5d848783f7.spiegel.de",4
"153","de2-bid.adsrvr.org",4
"154","derspiegel.involve.me",4
"155","firebase-settings.crashlytics.com",4
"156","firebaseinappmessaging.googleapis.com",4
"157","gutscheine.spiegel.de",4
"158","involve-me.imgix.net",4
"159","manifest-gcp-us-east1-vop1.cfcdn.mux.com",4
"160","ping-meta-prd.jwpltx.com",4
"161","pixel.yabidos.com",4
"162","pre.glotgrx.com",4
"163","sentry.admin.involve.me",4
"164","snap.licdn.com",4
"165","sportdaten.spiegel.de",4
"166","static.criteo.net",4
"167","vcdn02.spiegel.de",4
"168","4c635da67e98e5ceafb33ce013d4eed5-assets.s3.amazonaws.com",3
"169","988e3333.de.ioam.de",3
"170","9e4e7ce3d3e1790495ea0eb233a319c4.safeframe.googlesyndication.com",3
"171","agen-assets.ftstatic.com",3
"172","ats.otto.de",3
"173","beacon-ams3.rubiconproject.com",3
"174","cdn.flashtalking.com",3
"175","chunk-gcp-us-east4-vop1.cfcdn.mux.com",3
"176","cm.g.doubleclick.net",3
"177","eb2.3lift.com",3
"178","enduser.adsrvr.org",3
"179","i.clean.gg",3
"180","ib.3lift.com",3
"181","imasdk.googleapis.com",3
"182","ocsp.godaddy.com",3
"183","prd.jwpltx.com",3
"184","r4---sn-1gi7znes.c.2mdn.net",3
"185","stat.flashtalking.com",3
"186","v.adsrvr.org",3
"187","118967d7.de.ioam.de",2
"188","9bd761ce1ef9d7f2ae0e3554dac1920e.safeframe.googlesyndication.com",2
"189","a1219.casalemedia.com",2
"190","acdn.adnxs-simple.com",2
"191","ad1.adfarm1.adition.com",2
"192","aws-fra.connectad.io",2
"193","cab3405d2a8704c81142c3f4bb64b88d.safeframe.googlesyndication.com",2
"194","cdn-assets-spiegel.imgix.net",2
"195","cdn.ampproject.org",2
"196","cdnjs.cloudflare.com",2
"197","cm.everesttech.net",2
"198","csm.fr3.eu.criteo.net",2
"199","d0d607d1b34c844ff2570f525ad62cb1.safeframe.googlesyndication.com",2
"200","dcdn.adnxs.com",2
"201","dpm.demdex.net",2
"202","dx6ctphzljkf1.cloudfront.net",2
"203","ed6eac9c.de.ioam.de",2
"204","entitlements.jwplayer.com",2
"205","f5b134b31c94794b8a324adc8ba36f1e.safeframe.googlesyndication.com",2
