"","domain","n"
"1","firebaseinstallations.googleapis.com",14
"2","inappcheck.itunes.apple.com",14
"3","app-analytics-services.com",10
"4","firebase-settings.crashlytics.com",10
"5","firebaselogging-pa.googleapis.com",10
"6","region1.app-analytics-services.com",10
"7","amp-api-edge.apps.apple.com",9
"8","firebaseremoteconfig.googleapis.com",8
"9","fonts.gstatic.com",8
"10","g.doubleclick.net",8
"11","googleads.g.doubleclick.net",8
"12","www.gstatic.com",8
"13","mzstorekit.itunes.apple.com",7
"14","ocsp.godaddy.com",7
"15","pagead2.googlesyndication.com",7
"16","graph.facebook.com",6
"17","lh3.googleusercontent.com",6
"18","r10.o.lencr.org",6
"19","r11.o.lencr.org",6
"20","www.google.com",6
"21","fonts.googleapis.com",5
"22","tpc.googlesyndication.com",5
"23","ade.googlesyndication.com",4
"24","encrypted-tbn0.gstatic.com",4
"25","encrypted-tbn1.gstatic.com",4
"26","encrypted-tbn3.gstatic.com",4
"27","gsp-ssl.ls.apple.com",4
"28","gspe19-2-ssl.ls.apple.com",4
"29","gspe19-ssl.ls.apple.com",4
"30","ocsp.digicert.com",4
"31","pubads.g.doubleclick.net",4
"32","www.googleapis.com",4
"33","www.googletagservices.com",4
"34","acdn.adnxs.com",3
"35","api3.branch.io",3
"36","cdn.branch.io",3
"37","cdn.cookielaw.org",3
"38","cdn.doubleverify.com",3
"39","crashlyticsreports-pa.googleapis.com",3
"40","encrypted-tbn2.gstatic.com",3
"41","ep7.facebook.com",3
"42","firebaseinappmessaging.googleapis.com",3
"43","ingest.sentry.io",3
"44","lh5.googleusercontent.com",3
"45","mobile-data.onetrust.io",3
"46","notifications-pa.googleapis.com",3
"47","oauth2.googleapis.com",3
"48","oauthaccountmanager.googleapis.com",3
"49","people-pa.googleapis.com",3
"50","play.googleapis.com",3
"51","tps.doubleverify.com",3
"52","www.googletagmanager.com",3
"53","3.datadog.pool.ntp.org",2
"54","74.125.250.129",2
"55","aax-eu.amazon-adsystem.com",2
"56","aax.amazon-adsystem.com",2
"57","accountcapabilities-pa.googleapis.com",2
"58","accounts.google.com",2
"59","acdn.adnxs-simple.com",2
"60","ad.doubleclick.net",2
"61","ads.linkedin.com",2
"62","amplify.outbrain.com",2
"63","app-measurement.com",2
"64","assets.adobedtm.com",2
"65","bat.bing.com",2
"66","c.amazon-adsystem.com",2
"67","cadmus2.script.ac",2
"68","cdn-settings.appsflyersdk.com",2
"69","cdn.ampproject.org",2
"70","census-app-x.scorecardresearch.com",2
"71","chunk-gcp-us-east1-vop1.cfcdn.mux.com",2
"72","chunk-gcp-us-east1-vop1.fastly.mux.com",2
"73","chunk-gcp-us-east4-vop1.cfcdn.mux.com",2
"74","client-api.itunes.apple.com",2
"75","clients3.google.com",2
"76","cm.g.doubleclick.net",2
"77","configv2.unityads.unity3d.com",2
"78","crcdn01.adnxs-simple.com",2
"79","d.applovin.com",2
"80","data.adobedc.net",2
"81","device-provisioning.googleapis.com",2
"82","dpm.demdex.net",2
"83","e5.o.lencr.org",2
"84","ep2.facebook.com",2
"85","fcmtoken.googleapis.com",2
"86","firebaseremoteconfigrealtime.googleapis.com",2
"87","fundingchoicesmessages.google.com",2
"88","growth-pa.googleapis.com",2
"89","i.clean.gg",2
"90","i.scdn.co",2
"91","i.ytimg.com",2
"92","ib.adnxs-simple.com",2
"93","ib.adnxs.com",2
"94","images.ctfassets.net",2
"95","itunes.apple.com",2
"96","launches.appsflyer.com",2
"97","manifest-gcp-us-east1-vop1.cfcdn.mux.com",2
"98","manifest-gcp-us-east1-vop1.fastly.mux.com",2
"99","manifest-gcp-us-east4-vop1.cfcdn.mux.com",2
"100","media.licdn.com",2
"101","mobile-sdk-config.gservice.emarsys.net",2
"102","ms.applovin.com",2
"103","ocsp.rootca1.amazontrust.com",2
"104","peoplestack-pa.googleapis.com",2
"105","pixel.adsafeprotected.com",2
"106","platform-lookaside.fbsbx.com",2
"107","region1.app-measurement.com",2
"108","reporting.aatkit.com",2
"109","rt.applovin.com",2
"110","rules.aatkit.com",2
"111","rules2.aatkit.com",2
"112","rules3.aatkit.com",2
"113","s0.2mdn.net",2
"114","s3.amazonaws.com",2
"115","s3.eu-central-1.amazonaws.com",2
"116","sc-static.net",2
"117","sc.omtrdc.net",2
"118","static.adsafeprotected.com",2
"119","static.bird.co",2
"120","stream.mux.com",2
"121","thind.unityads.unity3d.com",2
"122","tpsc-ew1.doubleverify.com",2
"123","tr.outbrain.com",2
"124","tracking.aatkit.com",2
"125","unityads.unity3d.com",2
"126","wave.outbrain.com",2
"127","web.facebook.com",2
"128","www.facebook.com",2
"129","www.google-analytics.com",2
"130","www.googleadservices.com",2
"131","www.youtube.com",2
